time	V(vout)
Step Information: Run=0  (Run: 1/8)
1.203290648435679e+000	3.293172e+000
1.203291009295540e+000	3.292457e+000
1.203291577531562e+000	3.290771e+000
1.203292128412272e+000	3.287984e+000
1.203292466806843e+000	3.284851e+000
1.203292700624857e+000	3.280993e+000
1.203292879385238e+000	3.275910e+000
1.203293039845367e+000	3.268081e+000
1.203293181692256e+000	3.256060e+000
1.203293309081076e+000	3.237083e+000
1.203293432057262e+000	3.204600e+000
1.203293565758706e+000	3.145050e+000
1.203293695355171e+000	3.054124e+000
1.203293874024936e+000	2.881840e+000
1.203294062989578e+000	2.664820e+000
1.203294293184971e+000	2.379079e+000
1.203294566971604e+000	2.031457e+000
1.203295094619183e+000	1.361087e+000
1.203296008959583e+000	2.488256e-001
1.203296248362104e+000	1.058125e-002
1.203296248553944e+000	1.050460e-002
1.203296248809732e+000	1.044651e-002
1.203296249321308e+000	1.035779e-002
1.203296252087725e+000	9.946360e-003
1.203296255574248e+000	9.472798e-003
1.203296262547298e+000	8.647145e-003
1.203296276493393e+000	7.340978e-003
1.203296299671283e+000	5.772687e-003
1.203296324698115e+000	4.636338e-003
1.203296354765204e+000	3.769424e-003
1.203296392327026e+000	3.088270e-003
1.203296440239797e+000	2.553987e-003
1.203296502495387e+000	2.138287e-003
1.203296586527095e+000	1.811790e-003
1.203296701199250e+000	1.560323e-003
1.203296864066296e+000	1.365758e-003
1.203297098723841e+000	1.218526e-003
1.203297451423836e+000	1.107248e-003
1.203297990999278e+000	1.025556e-003
1.203298855658147e+000	9.663143e-004
1.203300273008161e+000	9.251863e-004
1.203302715666489e+000	8.977822e-004
1.203315333734540e+000	8.728279e-004
1.203331857454764e+000	8.699677e-004
1.237139389029785e+000	8.693223e-004
1.270979968045253e+000	8.689290e-004
1.310979968045253e+000	8.684986e-004
1.350979968045252e+000	8.681048e-004
1.390979968045251e+000	8.677463e-004
1.430979968045250e+000	8.674248e-004
1.470979968045249e+000	8.671591e-004
1.510979968045248e+000	8.670457e-004
1.550979968045247e+000	8.674978e-004
1.590979968045247e+000	8.701706e-004
1.630979968045246e+000	9.146730e-004
1.670979968045245e+000	1.049366e-003
1.671604968045244e+000	1.066978e-003
1.671761218045244e+000	1.080877e-003
1.672073718045244e+000	1.179488e-003
1.672698718045243e+000	1.570461e-003
1.672718249295244e+000	1.612583e-003
1.672757311795245e+000	1.770030e-003
1.672767077420243e+000	1.831705e-003
1.672786608670243e+000	2.007829e-003
1.672791491482744e+000	2.071447e-003
1.672801257107743e+000	2.365230e-003
1.672820788357743e+000	3.412826e-003
1.672822104730145e+000	3.584795e-003
1.672824737474947e+000	4.166717e-003
1.672825395661150e+000	4.379604e-003
1.672826712033551e+000	5.004548e-003
1.672827789178811e+000	5.749034e-003
1.672828562588027e+000	6.588652e-003
1.672829229242094e+000	7.706815e-003
1.672829672095407e+000	8.882641e-003
1.672830103822303e+000	1.072196e-002
1.672830445890746e+000	1.309338e-002
1.672830706367741e+000	1.609565e-002
1.672830915788957e+000	2.012829e-002
1.672831090948691e+000	2.580693e-002
1.672831242368186e+000	3.418281e-002
1.672831377324567e+000	4.708948e-002
1.672831502664270e+000	6.801457e-002
1.672831626371327e+000	1.041169e-001
1.672831758674793e+000	1.684881e-001
1.672831893928617e+000	2.702335e-001
1.672832084990191e+000	4.629948e-001
1.672832287981112e+000	7.014256e-001
1.672832518574001e+000	9.899544e-001
1.672832828909662e+000	1.384825e+000
1.672833446548179e+000	2.173150e+000
1.672833600957809e+000	2.369585e+000
1.672833909777065e+000	2.759183e+000
1.672834108422116e+000	3.004601e+000
1.672834236417931e+000	3.154344e+000
1.672834309622218e+000	3.229738e+000
1.672834351328966e+000	3.263033e+000
1.672834379517962e+000	3.277531e+000
1.672834415396903e+000	3.288312e+000
1.672834428577417e+000	3.290669e+000
1.672834445928757e+000	3.292516e+000
1.672834466024678e+000	3.293991e+000
1.672834490745625e+000	3.295193e+000
1.672834517651214e+000	3.296042e+000
1.672834556198723e+000	3.296808e+000
1.672834599069322e+000	3.297338e+000
1.672834661292399e+000	3.297797e+000
1.672834736594492e+000	3.298124e+000
1.672834849488115e+000	3.298401e+000
1.672834994655581e+000	3.298597e+000
1.672835222568324e+000	3.298759e+000
1.672835534344564e+000	3.298872e+000
1.672836052209934e+000	3.298962e+000
1.672836806695223e+000	3.299022e+000
1.672838293016120e+000	3.299069e+000
1.672841265657919e+000	3.299102e+000
1.672847210941512e+000	3.299121e+000
1.672859101508703e+000	3.299129e+000
1.672930444911835e+000	3.299131e+000
1.697187201976874e+000	3.299130e+000
1.721539083579426e+000	3.299131e+000
1.761539083579425e+000	3.299131e+000
1.801539083579424e+000	3.299132e+000
1.841539083579423e+000	3.299132e+000
1.881539083579423e+000	3.299132e+000
1.921539083579422e+000	3.299133e+000
1.961539083579421e+000	3.299133e+000
2.041539083579419e+000	3.299132e+000
2.081539083579418e+000	3.299125e+000
2.121539083579418e+000	3.270363e+000
2.126539083579417e+000	3.262339e+000
2.136539083579418e+000	3.272415e+000
2.139039083579419e+000	3.281799e+000
2.139664083579419e+000	3.284159e+000
2.141226583579417e+000	3.290148e+000
2.141851583579417e+000	3.292608e+000
2.143106466391917e+000	3.297663e+000
2.143116232016915e+000	3.297670e+000
2.143135763266916e+000	3.297624e+000
2.143174825766916e+000	3.297359e+000
2.143179709386708e+000	3.297274e+000
2.143189476626290e+000	3.296986e+000
2.143191918436187e+000	3.296880e+000
2.143196802055979e+000	3.296579e+000
2.143198022960927e+000	3.296469e+000
2.143200464770825e+000	3.296103e+000
2.143204580205573e+000	3.295184e+000
2.143205171289893e+000	3.294951e+000
2.143206353458528e+000	3.294241e+000
2.143207131543367e+000	3.293523e+000
2.143208135851037e+000	3.292163e+000
2.143208282188006e+000	3.291869e+000
2.143208574861944e+000	3.291028e+000
2.143209017871644e+000	3.289100e+000
2.143209511558041e+000	3.285387e+000
2.143209804050308e+000	3.281242e+000
2.143210007549577e+000	3.275887e+000
2.143210174638842e+000	3.268089e+000
2.143210317626746e+000	3.256380e+000
2.143210445169849e+000	3.238028e+000
2.143210568082488e+000	3.206616e+000
2.143210703015456e+000	3.148274e+000
2.143210831746561e+000	3.060043e+000
2.143211006306842e+000	2.894172e+000
2.143211194132547e+000	2.679998e+000
